timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
67700.0,85277.35053521811,5744.335932692066,0.0,355206102.42851055,72814801.45398955,0.0
67800.0,85528.23126271891,5769.790006495059,0.0,355182290.95820993,72920585.56924453,0.0
67900.0,85779.47746662397,5795.319126447401,0.0,355158444.7999896,73026362.56175567,0.0
68000.0,86031.08912914124,5820.923402833266,0.0,355134563.95553815,73132132.42105573,0.0
68100.0,86283.06623245194,5846.602945935707,0.0,355110648.4265468,73237895.13667758,0.0
68200.0,86535.40875871055,5872.357866036653,0.0,355086698.21470934,73343650.6981542,0.0
68300.0,86788.11669004483,5898.188273416907,0.0,355062713.32172203,73449399.09501866,0.0
68400.0,87041.19000855582,5924.094278356144,0.0,355038693.7492837,73555140.31680416,0.0
68500.0,87294.6286963178,5950.075991132909,0.0,355014639.4990956,73660874.35304399,0.0
68600.0,87548.43273537833,5976.133522024615,0.0,354990550.5728618,73766601.19327155,0.0
68700.0,87802.60210775821,6002.26698130754,0.0,354966426.9722886,73872320.82702036,0.0
68800.0,88057.13679545154,6028.476479256827,0.0,354942268.699085,73978033.24382403,0.0
68900.0,88312.03678042564,6054.762126146479,0.0,354918075.7549625,74083738.4332163,0.0
69000.0,88567.3020446211,6081.124032249361,0.0,354893848.1416352,74189436.384731,0.0
69100.0,88822.93256995176,6107.562307837195,0.0,354869585.86081964,74295127.08790205,0.0
69200.0,89078.92833830471,6134.077063180555,0.0,354845288.91423494,74400810.53226355,0.0
69300.0,89335.2893315403,6160.668408548874,0.0,354820957.3036028,74506486.70734963,0.0
69400.0,89592.01553149211,6187.336454210432,0.0,354796591.0306474,74612155.60269456,0.0
69500.0,89849.10691996697,6214.081310432361,0.0,354772190.0970955,74717817.20783272,0.0
69600.0,90106.56347874494,6240.9030874806385,0.0,354747754.50467634,74823471.51229861,0.0
69700.0,90364.38518957935,6267.8018956200885,0.0,354723284.25512177,74929118.50562683,0.0
69800.0,90622.57203419674,6294.777845114377,0.0,354698779.35016614,75034758.17735207,0.0
69900.0,90881.12399429688,6321.8310462260115,0.0,354674239.79154634,75140390.51700915,0.0
70000.0,91140.04105155282,6348.961609216339,0.0,354649665.5810018,75246015.51413302,0.0
70100.0,91399.32318761079,6376.169644345541,0.0,354625056.72027457,75351633.15825869,0.0
70200.0,91658.97038409027,6403.4552618726375,0.0,354600413.2111091,75457243.43892133,0.0
70300.0,91918.98262258395,6430.818572055478,0.0,354575735.0552525,75562846.3456562,0.0
70400.0,92179.35988465778,6458.259685150746,0.0,354551022.2544544,75668441.86799866,0.0
70500.0,92440.1021518509,6485.778711413949,0.0,354526274.8104668,75774029.9954842,0.0
70600.0,92701.20940567568,6513.375761099424,0.0,354501492.7250446,75879610.71764842,0.0
70700.0,92962.6816276177,6541.050944460332,0.0,354476675.9999449,75985184.024027,0.0
70800.0,93224.51879913578,6568.804371748655,0.0,354451824.63692755,76090749.90415579,0.0
70900.0,93486.72090166193,6596.636153215197,0.0,354426938.63775474,76196308.3475707,0.0
71000.0,93749.28791660137,6624.5463991095785,0.0,354402018.0041914,76301859.34380777,0.0
71100.0,94012.21982533256,6652.535219680237,0.0,354377062.738005,76407402.88240317,0.0
71200.0,94275.51660920713,6680.602725174423,0.0,354352072.8409654,76512938.95289314,0.0
71300.0,94539.17824954992,6708.749025838199,0.0,354327048.3148451,76618467.54481408,0.0
71400.0,94803.20472765899,6736.974231916437,0.0,354301989.1614191,76723988.64770247,0.0
71500.0,95067.59602480558,6765.278453652818,0.0,354276895.382465,76829502.25109492,0.0
71600.0,95332.35212223414,6793.661801289826,0.0,354251766.979763,76935008.34452815,0.0
71700.0,95597.47300116232,6822.1243850687515,0.0,354226603.95509565,77040506.917539,0.0
71800.0,95862.95864278096,6850.666315229683,0.0,354201406.3102482,77145997.9596644,0.0
71900.0,96128.80902825407,6879.28770201151,0.0,354176174.0470084,77251481.46044143,0.0
72000.0,96395.02413871887,6907.988655651919,0.0,354150907.16716653,77356957.40940723,0.0
72100.0,96661.60395528578,6936.76928638739,0.0,354125605.67251545,77462425.79609911,0.0
72200.0,96928.54845903837,6965.6297044531975,0.0,354100269.56485057,77567886.61005448,0.0
72300.0,97195.85763103342,6994.570020083406,0.0,354074898.84596974,77673339.84081085,0.0
72400.0,97463.53145230087,7023.5903435108685,0.0,354049493.5176735,77778785.47790585,0.0
72500.0,97731.56990384385,7052.690784967224,0.0,354024053.5817649,77884223.51087724,0.0
72600.0,97999.97296663866,7081.871454682897,0.0,353998579.04004943,77989653.92926286,0.0
72700.0,98268.74062163476,7111.132462887093,0.0,353973069.89433527,78095076.72260071,0.0
72800.0,98537.87284975481,7140.473919807799,0.0,353947526.14643306,78200491.88042888,0.0
72900.0,98807.36963189463,7169.895935671777,0.0,353921947.79815596,78305899.39228559,0.0
73000.0,99077.23094892318,7199.398620704568,0.0,353896334.8513198,78411299.24770914,0.0
73100.0,99347.45678168262,7228.982085130487,0.0,353870687.30774283,78516691.43623799,0.0
73200.0,99618.04711098822,7258.646439172617,0.0,353845005.1692459,78622075.9474107,0.0
73300.0,99889.00191762847,7288.391793052813,0.0,353819288.4376524,78727452.77076595,0.0
73400.0,100160.32118236499,7318.218256991698,0.0,353793537.1147883,78832821.89584252,0.0
73500.0,100432.00488593255,7348.1259412086565,0.0,353767751.2024821,78938183.31217934,0.0
73600.0,100704.05300903908,7378.11495592184,0.0,353741930.70256484,79043537.00931543,0.0
73700.0,100976.46553236566,7408.18541134816,0.0,353716075.61687005,79148882.97678992,0.0
73800.0,101249.2424365665,7438.337417703286,0.0,353690185.9472339,79254221.2041421,0.0
73900.0,101522.38370226898,7468.571085201643,0.0,353664261.6954951,79359551.68091133,0.0
74000.0,101795.88931007362,7498.886524056412,0.0,353638302.86349493,79464874.39663713,0.0
74100.0,102069.75924055405,7529.283844479526,0.0,353612309.4530771,79570189.3408591,0.0
74200.0,102343.99347425708,7559.763156681668,0.0,353586281.46608794,79675496.50311698,0.0
74300.0,102618.59199170263,7590.324570872269,0.0,353560218.9043763,79780795.87295063,0.0
74400.0,102893.55477338377,7620.968197259506,0.0,353534121.76979375,79886087.43990003,0.0
74500.0,103168.8817997667,7651.6941460503,0.0,353507990.06419414,79991371.19350526,0.0
74600.0,103444.57305129073,7682.502527450313,0.0,353481823.7894341,80096647.12330654,0.0
74700.0,103720.62850836832,7713.3934516639465,0.0,353455622.9473726,80201915.21884422,0.0
74800.0,103997.04815138502,7744.367028894339,0.0,353429387.5398714,80307175.46965873,0.0
74900.0,104273.83196069955,7775.423369343364,0.0,353403117.5687946,80412427.86529066,0.0
75000.0,104550.97991664372,7806.562583211629,0.0,353376813.03600895,80517672.39528069,0.0
75100.0,104828.49199952245,7837.784780698472,0.0,353350473.94338375,80622909.04916964,0.0
75200.0,105106.3681896138,7869.090072001958,0.0,353324100.29279083,80728137.81649844,0.0
75300.0,105384.60846716895,7900.47856731888,0.0,353297692.08610463,80833358.68680815,0.0
75400.0,105663.21281241214,7931.950376844755,0.0,353271249.32520205,80938571.64963995,0.0
75500.0,105942.18120554076,7963.505610773821,0.0,353244772.0119626,81043776.69453512,0.0
75600.0,106221.51362672531,7995.144379299037,0.0,353218260.1482683,81148973.8110351,0.0
75700.0,106501.21005610935,8026.866792612079,0.0,353191713.73600376,81254162.98868142,0.0
75800.0,106781.27047380959,8058.67296090334,0.0,353165132.77705616,81359344.21701574,0.0
75900.0,107061.69485991582,8090.562994361925,0.0,353138517.2733152,81464517.48557986,0.0
76000.0,107342.48319449091,8122.53700317565,0.0,353111867.2266731,81569682.78391568,0.0
76100.0,107623.63545757085,8154.595097531042,0.0,353085182.6390248,81674840.10156523,0.0
76200.0,107905.15162916471,8186.737387613331,0.0,353058463.51226753,81779989.42807065,0.0
76300.0,108187.03168925464,8218.963983606454,0.0,353031709.8483013,81885130.75297423,0.0
